name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Mushy peas,47.3,0.23,13.0,30.5,92.0,0.0009,0.55,0.25,0.383,0.06,0.09,0.0,0.03,0.25,0.0
Mussels,30.0,0.22,39.0,145.0,145.0,0.046,7.7,3.4,4.1,0.2,,0.010199999999999999,0.096,3.5,0.0
"Mussels, PROCESS Baking",28.0,0.208,33.0,218.0,294.0,,4.322,2.215,4.195,0.24,0.155,0.0087,0.074,0.909,0.0
"Mussels, PROCESS Cooking in water",67.0,0.17,63.0,231.0,212.0,0.049,3.9,2.2,6.77,0.24,,0.01916,0.06,2.1,0.0
"Mussels, PROCESS Frying",27.0,0.208,36.0,143.0,273.0,,3.9,1.2,4.195,0.24,0.155,0.022,0.074,0.909,0.0
"Mussels, PROCESS Steaming",67.0,0.17,63.0,231.0,212.0,0.049,3.9,2.2,6.77,0.24,,0.01916,0.06,2.1,0.0
Mustard and related sauces,84.0,0.2,88.0,73.0,130.0,0.006,2.0,1.1,2.56,0.025,0.051,0.0,0.071,0.3,0.0
Mustard seeds and similar-,520.0,0.41,300.0,840.0,680.0,,18.5,4.7,16.4,0.38,0.54,0.0,0.2,0.0,0.0
"Mustard, hot",84.0,0.2,88.0,73.0,130.0,0.006,2.0,1.1,7.1,0.025,0.051,0.0,0.071,0.3,0.0
"Mustard, mild",184.0,0.09,49.0,213.0,350.0,0.006,3.0,0.7,1.5,0.06,0.35,0.0,0.07,,0.0
"Mustard, sweet",84.0,0.2,88.0,73.0,130.0,0.006,2.0,1.1,6.917,0.2,,0.0,0.07,,0.0
Nasturtium flowers and leaves,180.0,0.14,34.0,64.0,276.0,,3.14,0.2,1.083,0.17,0.085,0.0,0.13,1.0,0.25
Natural mineral water,8.0,,1.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy beans (dry seeds),180.0,0.61,180.0,310.0,1160.0,0.012,6.7,2.8,5.9,0.13,0.45,0.0,0.56,0.21,0.0
"Navy beans (dry seeds), PROCESS Cooking in water",65.0,0.14,45.0,120.0,320.0,0.004,2.5,1.0,2.142,0.04,0.1,0.0,0.12,0.07,0.0
"Navy beans (dry seeds), PROCESS Steaming",65.0,0.14,45.0,120.0,320.0,0.004,2.5,1.0,2.142,0.04,0.1,0.0,0.12,0.07,0.0
"Nectar, apple",10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.152,0.02,0.02,0.0,0.035,0.1,0.003
"Nectar, apricot",10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.305,0.02,0.02,0.0,0.035,0.1,0.001
"Nectar, banana",6.0,0.03,8.0,6.0,81.0,,0.116,0.046,0.235,0.012,0.009,0.0,0.075,0.07,0.0
"Nectar, mango",10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.257,0.02,0.02,0.0,0.035,0.1,0.0
"Nectar, orange",10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.152,0.02,0.02,0.0,0.035,0.1,0.0
"Nectar, peach",10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.345,0.02,0.02,0.0,0.035,0.1,0.001
"Nectar, pear",10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.1,0.02,0.02,0.0,0.035,0.1,0.003
"Nectar, pineapple",10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.145,0.02,0.02,0.0,0.035,0.1,0.0
New potatoes,6.0,0.09,14.0,60.0,450.0,0.001,0.5,0.2,1.6,0.04,0.12,0.0,0.3,0.1,
"New potatoes, PROCESS Baking",9.0,0.08,19.0,41.0,344.0,,0.5,0.33,1.1,0.01,0.05,0.0,0.187,0.1,
"New potatoes, PROCESS Cooking in water",9.0,0.08,19.0,41.0,344.0,,0.5,0.33,1.4,0.01,0.05,0.0,0.187,0.1,
"New potatoes, PROCESS Steaming",9.0,0.08,19.0,41.0,344.0,,0.5,0.33,1.417,0.01,0.05,0.0,0.187,0.1,
Nile perch,95.0,0.03,26.0,240.0,330.0,,0.4,0.613,5.407,0.12,0.075,0.001,0.23,1.47,0.0
"Nile perch, PROCESS Baking",115.0,0.034,28.0,261.0,338.0,,0.41,0.739,5.416,0.121,0.066,0.0011,0.25,1.655,0.0
"Nile perch, PROCESS Cooking in water",120.0,0.034,28.0,258.0,313.0,,0.404,0.774,4.555,0.106,0.071,0.001,0.203,1.671,0.0
"Nile perch, PROCESS Frying",117.0,0.035,29.0,266.0,345.0,,0.418,0.754,5.659,0.133,0.074,0.0011,0.226,1.687,0.0
"Nile perch, PROCESS Steaming",120.0,0.034,28.0,258.0,313.0,,0.404,0.774,4.555,0.106,0.071,0.001,0.203,1.671,0.0
Noble rot wine,14.0,0.05,11.0,13.0,110.0,0.0005,0.58,0.2,0.08,0.01,0.001,0.0,0.012,0.0,0.0
Non dairy coffee creamer,2.0,,9.0,624.0,867.0,0.0009,0.2,0.15,0.849,0.01,,0.0,0.001,0.5,0.003
"Non dairy coffee creamer, QUAL Half fat or medium fat",2.0,0.0,0.0,624.0,867.0,,0.2,0.15,0.0,0.01,0.0,0.0,0.001,0.5,
Non-fermented tea leaves (green or white tea),302.0,2.49,184.0,314.0,1490.0,,17.2,3.2,34.367,0.95,0.025,0.0,0.25,2.1,0.262
"Non-fermented tea, infusion",2.0,0.03,3.0,1.0,20.0,0.0001,0.1,0.381,0.217,0.02,,0.0,0.001,0.0,0.0
"Noodle, rice",12.0,0.078,12.0,32.0,5.0,0.015099999999999999,1.5,0.74,3.3,0.01,0.04,0.0,0.015,,0.0
"Noodle, rice, PROCESS Cooking in water",10.3,0.0298,4.6,58.4,11.5,0.0058,0.3,0.3,0.1,0.01,0.01,0.0,0.01,0.1,
"Noodle, rice, PROCESS Steaming",10.3,0.0298,4.6,58.4,11.5,0.0058,0.3,0.3,0.1,0.01,0.01,0.0,0.01,0.1,
Nougat,85.0,0.21,93.0,188.0,249.0,0.001,1.0,0.94,2.4,0.21,0.03,,0.018,6.5,0.004
"Nougat, QUAL Low / Reduced sugar",202.0,0.592,70.0,202.0,427.0,,1.407,1.176,2.599,0.25,0.03,0.0002,0.261,8.792,0.007
"Nougat, QUAL Sugar free",202.0,0.592,70.0,202.0,427.0,,1.407,1.176,2.599,0.25,0.03,0.0002,0.261,8.792,0.007
Nut cream cake,52.0,0.11,48.0,103.0,158.0,0.001,0.6,0.51,2.541,0.16,0.02,0.00014000000000000001,0.013,3.3,0.002
Nutmeg seed,184.0,1.03,183.0,213.0,350.0,0.0016,3.0,2.15,1.3,0.06,0.35,0.0,0.16,,0.0
Nuts-seeds based halva,110.0,0.03,170.0,330.0,190.0,0.0344,5.7,4.4,4.8,0.13,0.34,0.0,0.023,0.522,0.002
Oat bran,67.2,0.41,121.0,519.0,382.0,0.001,4.437,3.642,3.883,0.028,0.562,0.0,0.098,0.8,
Oat flour,55.0,0.23,131.0,405.0,268.0,0.0086,4.2,3.3,4.963,0.12,0.56,0.0,0.2,0.935,0.004
Oat groats,55.0,0.23,110.0,380.0,370.0,0.003,4.1,3.3,5.867,0.1,0.5,0.0,0.12,1.7,0.007
Oat high-bran flakes,22.0,0.469,123.0,323.0,400.0,,4.386,3.564,4.121,0.034,0.557,0.0,0.126,1.986,
Oat porridge,112.0,0.01,11.0,83.0,139.0,0.001,,0.35,2.7,0.17,0.03,0.0003,0.03,0.1,0.005
"Oat porridge, INGRED Cow milk, skimmed (low fat)",100.2,0.0751,26.3,123.9,175.3,0.0032,0.8,0.9,0.2,0.17,0.07,0.0003,0.05,0.1,
"Oat porridge, INGRED Cow milk, whole",112.0,0.01,11.0,83.0,139.0,0.001,,0.35,1.0,0.17,0.07,0.0003,0.03,0.1,0.005
"Oat porridge, INGRED Tap water",7.0,0.06,15.0,47.0,44.0,0.001,0.47,0.4,0.871,0.01,0.03,0.0,0.02,0.18,0.016
Oat rolled grains,70.0,0.2,128.0,400.0,300.0,0.007,4.0,3.02,4.167,0.05,0.6,0.0,0.12,1.6,
"Oat rolled grains, instant",70.0,0.2,128.0,400.0,300.0,0.007,4.0,3.02,4.167,0.05,0.6,0.0,0.12,1.6,
Oats drink,7.0,0.053,13.4,43.0,41.0,0.0009,0.6,0.5,0.1,0.01,0.03,0.0,0.01,0.4,
Ocean perch,22.9,0.02,21.1,175.0,323.0,0.056299999999999996,0.77,0.336,1.2,0.05,0.05,,,0.9,0.0
"Ocean perch, PROCESS Baking",60.0,0.051,32.0,227.0,290.0,0.0126,1.1,0.67,2.3,0.12,0.06,0.002,0.12,0.2,
"Ocean perch, PROCESS Cooking in water",,,,,,,1.2,,,,,0.00441,,,
"Ocean perch, PROCESS Steaming",,,,,,,1.2,,,,,0.00441,,,
Octopuses,27.0,0.98,28.0,143.0,273.0,0.066,0.6,1.1,6.4,0.05,0.07,0.002,0.69,1.2,0.0
"Octopuses, PROCESS Baking",33.0,0.951,37.0,155.0,280.0,,0.82,0.844,6.037,0.054,0.067,0.0057,0.376,2.7,0.0
"Octopuses, PROCESS Cooking in water",34.0,0.938,36.0,152.0,257.0,,1.0,0.878,7.383,0.044,0.066,0.002,0.342,2.71,0.0
"Octopuses, PROCESS Frying",33.0,0.951,37.0,155.0,280.0,,0.82,0.844,6.037,0.054,0.067,0.0057,0.376,2.7,0.0
"Octopuses, PROCESS Steaming",34.0,0.938,36.0,152.0,257.0,,1.0,0.878,7.383,0.044,0.066,0.002,0.342,2.71,0.0
Okra,80.0,0.13,71.0,60.0,282.0,0.001,1.1,0.6,1.317,0.12,0.06,0.0,0.22,0.1,0.005
"Okra, PROCESS Cooking in water",120.0,0.09,57.0,54.0,310.0,0.001,0.6,0.5,1.2,0.05,0.13,0.0,0.19,0.144,0.005
"Okra, PROCESS Steaming",120.0,0.09,57.0,54.0,310.0,0.001,0.6,0.5,1.2,0.05,0.13,0.0,0.19,0.144,0.005
"Olive oil, refined",0.0,0.01,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,5.1,
"Olive oil, virgin or extra-virgin",,0.01,,,,,,,0.0,0.0,0.0,0.0,0.0,5.1,0.055
"Olives, processed",61.0,0.23,22.0,17.0,91.0,0.001,1.8,0.22,0.233,,,0.0,0.02,2.0,0.001
Omelette with bacon,58.4,0.057,14.1,164.0,256.0,0.012,1.4,1.34,3.586,0.29,0.22,0.0009599999999999999,0.21,0.98,0.007
Omelette with mushrooms,58.0,0.137,10.8,143.0,187.0,0.0094,1.4,0.9,5.339,0.36,0.069,0.00078,0.12,0.94,0.013
Omelette with vegetables,31.0,0.05,13.0,99.0,211.0,0.004,1.12,0.6,2.81,0.15,0.11,0.0009,0.19,0.93,0.011
"Omelette, plain",51.0,0.07,12.0,175.0,117.0,0.01,1.65,1.1,3.3,0.33,0.07,0.0022,0.09,1.12,0.01
Onion soup,5.0,0.02,42.0,6.0,41.0,,0.1,0.08,0.4,,0.01,,0.017,0.1,0.0
Onions,29.0,0.06,9.0,33.0,185.0,0.001,0.3,0.29,0.517,0.01,0.03,0.0,0.121,0.1,0.0004
Onions and similar-,29.0,0.06,9.0,33.0,185.0,0.001,0.3,0.29,0.517,0.01,0.03,0.0,0.121,0.1,0.001
"Onions and similar-, PROCESS Baking",70.0,0.14,11.0,85.0,450.0,0.003,0.8,0.6,2.2,0.021,0.24,0.0,0.35,0.87,0.001
"Onions and similar-, PROCESS Cooking in water",24.0,0.07,9.0,38.0,159.0,0.0,0.2,0.31,0.512,0.01,0.03,0.0,0.116,0.1,0.001
"Onions and similar-, PROCESS Frying",26.0,0.04,9.0,40.0,208.0,0.001,0.3,0.18,0.7,0.02,0.03,,0.078,0.7,
"Onions and similar-, PROCESS Steaming",19.0,0.05,3.0,16.0,90.0,,0.3,0.2,0.7,0.01,0.09,0.0,0.12,0.15,
"Onions, PROCESS Baking",72.0,0.083,20.0,37.0,276.0,0.0006,1.48,0.39,0.858,0.08,0.055,0.0,0.061,0.074,0.0005
"Onions, PROCESS Cooking in water",24.0,0.07,9.0,38.0,159.0,0.0,0.2,0.31,0.512,0.01,0.03,0.0,0.116,0.1,0.0005
"Onions, PROCESS Frying",26.0,0.04,9.0,40.0,208.0,0.001,0.3,0.18,0.7,0.02,0.03,,0.078,0.7,
"Onions, PROCESS Steaming",19.0,0.05,3.0,16.0,90.0,,0.3,0.2,0.7,0.01,0.09,0.0,0.12,0.15,
Oranges and similar-,23.0,0.04,10.0,24.0,177.0,,0.1,0.17,0.5,0.03,0.05,0.0,0.06,0.4,0.0
Other fish offal,9.3,0.0266,9.0,76.6,26.0,0.009,0.4,0.7,1.8,0.74,0.24,0.01,0.1,10.5,
Oyster sauce,25.0,0.48,50.0,145.0,94.0,,2.4,1.4,2.663,0.04,0.195,0.005,0.136,0.214,0.058
Oysters,70.0,7.93,32.0,175.0,250.0,0.036,7.0,59.2,3.25,0.2,0.15,0.0162,,0.9,0.0
"Oysters, PROCESS Baking",99.0,1.053,35.0,171.0,189.0,,3.218,26.269,3.68,0.218,0.155,0.0159,0.213,1.028,0.0
"Oysters, PROCESS Cooking in water",86.0,0.915,30.0,149.0,164.0,,2.797,22.83,3.204,0.189,0.135,0.013800000000000002,0.185,0.894,0.0
"Oysters, PROCESS Frying",99.0,1.053,35.0,171.0,189.0,,3.218,26.269,3.68,0.218,0.155,0.0159,0.213,1.028,0.0
"Oysters, PROCESS Steaming",86.0,0.915,30.0,149.0,164.0,,2.797,22.83,3.204,0.189,0.135,0.013800000000000002,0.185,0.894,0.0
Pacific salmon (generic),12.0,0.03,27.0,244.0,396.0,0.026,1.0,0.6,11.0,0.36,0.13,0.004,0.63,1.9,
"Pacific salmon (generic), PROCESS Baking",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,8.8,0.08,0.22,0.0039900000000000005,0.402,4.1,
"Pacific salmon (generic), PROCESS Cooking in water",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,8.8,0.08,0.22,0.0039900000000000005,0.402,4.1,
"Pacific salmon (generic), PROCESS Frying",0.0,0.0,25.0,248.0,399.0,,0.242,0.0,13.693,0.32,0.133,0.004200000000000001,0.522,2.645,
"Pacific salmon (generic), PROCESS Steaming",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,8.8,0.08,0.22,0.0039900000000000005,0.402,4.1,
Paella,31.0,0.103,17.6,80.2,127.0,0.0067,0.54,0.68,2.81,0.164,0.063,0.0005600000000000001,0.128,1.86,0.006
Palm hearts,50.0,0.3,26.0,90.0,350.0,,1.0,0.06,1.45,0.04,0.09,0.0,0.1,0.2,0.0
"Palm hearts, PROCESS Cooking in water",48.8,0.147,27.8,68.2,166.0,0.0007,1.74,0.835,1.378,0.057,0.011,0.0,0.022,,0.0
"Palm hearts, PROCESS Steaming",25.8,0.164,21.0,100.0,149.0,,0.91,0.41,1.35,0.124,0.084,0.0,0.081,0.221,0.033
"Palm kernel oil, edible",0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.6,
Palm oil/fat,,0.001,,,,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,15.9,0.008
Pan-fried potato,9.0,0.07,18.0,40.0,327.0,,0.5,0.31,1.978,0.01,0.05,,0.176,,0.002
Pancakes,106.0,0.06,21.0,201.0,209.0,0.003,0.8,0.73,1.7,0.22,0.1,0.00035,0.042,0.4,0.002
Pancetta,20.0,,,171.0,442.0,,0.8,3.35,7.25,0.155,0.515,,0.315,0.11,
"Pancetta, PROCESS Baking",11.0,,26.0,201.0,229.0,,1.2,2.2,8.5,0.46,0.11,0.001,0.28,,
Papayas,20.0,0.08,11.0,15.0,167.0,0.002,0.4,0.3,0.4,0.04,0.03,0.0,0.04,0.7,0.0
Paprika powder,177.0,0.61,190.0,345.0,2344.0,0.004,23.6,4.1,18.4,1.74,0.64,0.0,,,0.0
Parsley,40.0,0.03,23.0,30.0,700.0,0.001,7.1,0.7,2.833,0.3,0.06,0.0,0.12,1.7,0.548
Parsley roots,39.0,0.2,26.0,57.0,399.0,0.0001,0.85,0.18,2.467,0.086,0.1,0.0,0.23,1.7,0.0
Parsnip roots,35.0,0.04,9.0,24.2,249.0,0.0001,0.6,0.32,0.4,0.04,0.02,0.0,0.06,,0.001
"Parsnip roots, PROCESS Baking",45.4,0.058,11.7,26.9,220.0,0.0003,0.366,0.132,0.595,0.043,0.045,0.0,0.088,0.02,
"Parsnip roots, PROCESS Cooking in water",50.0,0.04,23.0,76.0,350.0,0.0003,0.6,0.3,1.1,0.01,0.07,0.0,0.09,1.0,0.001
"Parsnip roots, PROCESS Frying",45.4,0.058,11.7,26.9,220.0,0.0003,0.366,0.132,0.595,0.043,0.045,0.0,0.088,0.02,
"Parsnip roots, PROCESS Steaming",50.0,0.04,23.0,76.0,350.0,0.0003,0.6,0.3,1.1,0.01,0.07,0.0,0.09,1.0,0.001
Partridge fresh meat,45.0,0.2,36.0,300.0,400.0,0.016,8.0,0.65,12.667,0.12,0.07,0.0008,0.307,0.7,0.0
"Partridge fresh meat, PROCESS Baking",13.0,0.069,20.0,230.0,262.0,,1.15,0.97,12.3,0.153,0.077,0.0008399999999999999,0.74,,0.0
"Partridge fresh meat, PROCESS Cooking in water",19.0,,29.0,171.0,247.0,,4.5,2.4,10.5,0.18,0.24,0.00043,0.6,,
"Partridge fresh meat, PROCESS Steaming",19.0,,29.0,171.0,247.0,,4.5,2.4,10.5,0.18,0.24,0.00043,0.6,,
Passionfruits,11.0,0.12,29.0,64.0,237.0,0.001,1.3,0.8,1.9,0.12,0.03,0.0,0.1,0.5,0.0
Pasta based dishes (cooked),140.0,0.218,30.0,154.0,93.0,0.0060999999999999995,1.34,1.233,2.182,0.058,0.065,0.0002,0.059,2.542,0.009
"Pasta based dishes (cooked), PROCESS Baking",170.0,0.05,20.0,155.0,114.0,0.004900000000000001,0.4,0.88,0.64,0.13,0.09,0.00038,0.06,0.34,
"Pasta based dishes (cooked), PROCESS Cooking in water",115.0,0.45,18.0,130.0,86.0,,0.9,1.1,2.1,0.06,0.05,,0.02,0.82,
"Pasta based dishes (cooked), PROCESS Steaming",115.0,0.45,18.0,130.0,86.0,,0.9,1.1,2.1,0.06,0.05,,0.02,0.82,
Pasta flavoured and/or/coloured-deprecated,49.0,0.151,42.0,125.0,223.0,0.009800000000000001,2.027,3.511,3.359,0.085,0.134,0.0,0.128,1.141,0.073
"Pasta for children (dry, to be cooked)",23.0,0.195,42.0,153.0,219.0,,2.971,1.208,3.15,0.073,0.17,0.0,0.06,0.1,0.0
Pasta wholemeal,40.0,0.31666666666666665,120.0,405.0,500.0,0.004,3.3,3.0,8.53,0.14,0.48,0.0,0.4,0.3,0.0
"Pasta wholemeal, PROCESS Baking",14.0,0.204,45.0,156.0,104.0,,1.3,1.333,2.178,0.035,0.08,0.0,0.072,0.089,0.0
"Pasta wholemeal, PROCESS Cooking in water",25.0,0.22,47.0,129.0,70.0,0.011,1.7,1.3,3.7,0.02,0.08,0.0,0.003,0.2,0.0
"Pasta wholemeal, PROCESS Steaming",25.0,0.22,47.0,129.0,70.0,0.011,1.7,1.3,3.7,0.02,0.08,0.0,0.003,0.2,
Pasta with egg-deprecated,,0.15,,,,,,,,,,,,,
"Pasta, cooked, with cheese/cream",36.1,0.08,14.6,86.2,87.1,0.001,0.45,1.0,2.684,0.08,0.13,0.00011,0.06,1.19,0.002
"Pasta, cooked, with vegetables",14.0,0.06,11.0,37.0,84.0,0.0,0.6,0.4,1.195,0.02,0.04,,0.09,1.95,0.008
"Pasta, cooked, with vegetables and cheese/cream",20.0,0.118,17.0,61.0,66.0,,0.507,0.518,1.372,0.027,0.03,0.0,0.059,0.351,0.001
"Pasta, filled with meat mix, cooked",61.0,0.286,35.0,197.0,262.0,,1.89,1.39,5.98,0.14,0.15,0.0,0.14,0.654,0.0
"Pasta, filled with meat mix, cooked, PROCESS Baking",20.0,0.03,5.0,56.0,46.0,,0.34,0.681,1.595,0.055,0.035,0.0006,0.036,0.293,0.001
"Pasta, filled with meat mix, cooked, PROCESS Cooking in water",66.0,0.14,20.0,123.0,112.0,0.002,0.8,0.91,1.623,0.08,0.05,0.00020999999999999998,0.041,0.4,0.001
"Pasta, filled with meat mix, cooked, PROCESS Steaming",66.0,0.14,20.0,123.0,112.0,0.002,0.8,0.91,1.623,0.08,0.05,0.00020999999999999998,0.041,0.4,0.001
"Pasta, filled with vegetable mix, cooked",59.0,0.182,35.0,151.0,229.0,,1.35,0.867,3.79,0.15,0.12,0.0,0.12,0.466,0.0
"Pasta, filled with vegetable mix, cooked, PROCESS Cooking in water",66.0,0.14,20.0,123.0,112.0,0.002,0.8,0.91,2.9,0.08,0.05,0.00020999999999999998,0.041,0.4,
"Pasta, filled with vegetable mix, cooked, PROCESS Steaming",66.0,0.14,20.0,123.0,112.0,0.002,0.8,0.91,2.9,0.08,0.05,0.00020999999999999998,0.041,0.4,
"Pasta, gluten free",16.0,0.08499999999999999,,30.0,91.0,0.0024,0.512,0.605,0.079,0.007,,0.0,0.005,,0.0
"Pasta, gluten free, PROCESS Cooking in water",6.0,0.017,1.0,11.0,2.0,,0.142,0.224,0.027,0.002,0.0,0.0,0.002,0.0,0.0
"Pasta, gluten free, PROCESS Steaming",6.0,0.017,1.0,11.0,2.0,,0.142,0.224,0.61,0.002,0.0,0.0,0.002,0.0,0.0
"Pasta, simple-deprecated",15.0,0.13125,53.0,125.0,100.0,0.02,2.0,1.5,4.17,0.06,0.1,0.0,0.08,,0.0
"Pasta, simple-deprecated, PROCESS Baking",8.0,0.108,19.0,63.0,48.0,,0.45,0.6,1.517,0.017,0.023,0.0,0.055,0.08,0.0
"Pasta, simple-deprecated, PROCESS Cooking in water",15.0,0.12,18.0,73.0,50.0,0.001,0.6,0.6,1.9,0.03,0.02,0.0,0.016,0.1,0.0
"Pasta, simple-deprecated, PROCESS Steaming",15.0,0.12,18.0,73.0,50.0,0.001,0.6,0.6,1.7,0.03,0.02,0.0,0.016,0.1,0.0
"Pasta-based dishes, uncooked",61.0,0.286,35.0,197.0,262.0,,1.89,1.39,5.98,0.14,0.15,0.0,0.14,0.654,0.0
"Pasta-based dishes, uncooked, PROCESS Baking",20.0,0.03,5.0,56.0,46.0,,0.34,0.681,1.595,0.055,0.035,0.0006,0.036,0.293,0.001
"Pasta-based dishes, uncooked, PROCESS Cooking in water",66.0,0.14,20.0,123.0,112.0,0.002,0.8,0.91,2.9,0.08,0.05,0.00020999999999999998,0.041,0.4,0.001
"Pasta-based dishes, uncooked, PROCESS Steaming",66.0,0.14,20.0,123.0,112.0,0.002,0.8,0.91,2.9,0.08,0.05,0.00020999999999999998,0.041,0.4,0.001
Pastas and rice (or other cereal) ?based dishes,15.0,0.06,7.0,76.0,71.0,,0.771,0.54,1.366,0.066,0.04,0.0003,0.027,0.989,0.001
"Pastas and rice (or other cereal) ?based dishes, PROCESS Baking",100.0,,18.0,135.0,180.0,,0.8,1.5,,0.12,0.08,,0.15,0.74,
"Pastas and rice (or other cereal) ?based dishes, PROCESS Cooking in water",8.0,,17.0,57.0,73.0,,0.5,0.5,,0.02,0.06,,0.03,0.27,
"Pastas and rice (or other cereal) ?based dishes, PROCESS Steaming",29.0,,10.0,81.0,219.0,,0.9,1.5,,0.07,0.09,,0.24,0.47,
"Pastrami, beef",10.0,,,175.0,350.0,,4.0,,1.7,0.1,0.01,0.0018,0.15,,
"Pate, chicken liver",16.0,0.46,11.0,450.0,150.0,,5.9,2.8,4.7,1.17,0.1,0.008,0.25,,
"Pate, goose liver",10.0,0.18,13.0,175.0,95.0,0.0461,9.19,2.14,10.124,1.4,0.05,0.00807,0.26,0.2,0.004
"Pate, pork liver",12.0,0.38,9.0,194.0,153.0,0.019,6.8,2.7,8.1,0.81,0.06,0.00855,0.121,0.6,0.011
Peaches and similar-,4.0,0.06,8.0,22.0,178.0,,0.2,0.1,0.567,0.02,0.01,0.0,0.024,,0.002
Peanut butter,50.0,0.68,164.0,331.0,537.0,0.009,1.4,2.28,10.067,0.1,0.1,0.0,0.115,9.5,0.0
"Peanut oil, edible",,,,,,,,,0.0,0.0,0.0,0.0,0.0,15.2,
Peanuts,55.6,0.86,170.0,409.0,703.0,0.006900000000000001,1.9,3.1,24.2,0.1,0.91,0.0,0.348,8.2,0.0
"Peanuts, PROCESS Baking",56.0,0.61,216.0,456.0,757.0,0.016,1.9,3.3,23.0,0.08,0.13,0.0,0.158,6.4,0.0
"Peanuts, PROCESS Cooking in water",35.0,0.546,139.0,312.0,504.0,,1.567,2.589,15.68,0.118,0.595,0.0,0.313,9.178,0.0
"Peanuts, PROCESS Steaming",35.0,0.546,139.0,312.0,504.0,,1.567,2.589,15.68,0.118,0.595,0.0,0.313,9.178,0.0
Pearl oyster mushrooms,29.0,0.118,29.0,120.0,230.0,0.003,1.9,0.866,10.5,0.43,0.191,,0.088,0.0,0.0
"Pearl oyster mushrooms, PROCESS Baking",17.2,0.182,6.14,60.1,127.0,0.0022,1.06,0.548,1.59,0.23,0.085,0.0,0.061,0.12,
"Pearl oyster mushrooms, PROCESS Cooking in water",13.0,0.124,9.0,67.0,140.0,,1.021,0.719,7.795,0.205,0.137,0.0001,0.063,0.0,0.0
"Pearl oyster mushrooms, PROCESS Steaming",13.0,0.128,12.0,70.0,219.0,,1.151,0.842,9.439,0.261,0.165,0.0001,0.077,0.0,0.0
Pears and similar-,5.0,0.04,6.0,12.0,136.0,,0.1,0.17,0.22,0.01,0.01,0.0,0.015,,0.005
"Pears and similar-, PROCESS Baking",11.0,0.13,8.0,17.0,197.0,,0.7,0.117,0.2,0.03,0.02,0.0,0.04,0.478,0.006
"Pears and similar-, PROCESS Cooking in water",9.0,0.05,6.0,11.0,130.0,0.0002,0.2,0.1,0.199,0.02,0.01,0.0,0.01,0.487,0.006
Peas (with pods) and similar-,54.0,0.1,25.0,53.0,150.0,0.0004,0.8,0.6,3.417,0.14,0.17,0.0,0.18,0.5,
"Peas (with pods) and similar-, PROCESS Cooking in water",41.0,0.05,19.0,42.0,130.0,,0.6,0.4,2.671,0.11,0.11,0.0,0.11,0.557,
"Peas (with pods) and similar-, PROCESS Frying",28.1,0.12,15.0,36.2,330.0,0.0002,0.6,0.73,0.35,0.045,0.11,0.0,0.05,0.08,
"Peas (with pods) and similar-, PROCESS Steaming",41.0,0.05,19.0,42.0,130.0,,0.6,0.4,3.124,0.11,0.11,0.0,0.11,0.536,
Peas (without pods) and similar-,20.0,0.11,30.0,80.0,300.0,0.001,2.0,1.1,3.483,0.15,0.17,0.0,0.09,,0.07
"Peas (without pods) and similar-, PROCESS Baking",28.0,0.266,38.0,127.0,273.0,,1.704,1.039,4.026,0.164,0.292,0.0,0.156,0.068,0.039
"Peas (without pods) and similar-, PROCESS Cooking in water",20.0,0.03,29.0,80.0,300.0,0.001,2.0,1.0,3.8,0.15,0.17,0.0,0.09,0.2,0.023
"Peas (without pods) and similar-, PROCESS Steaming",20.0,0.03,29.0,80.0,300.0,0.001,2.0,1.0,3.8,0.15,0.17,0.0,0.09,0.2,0.037
Peas shoots and sprouts,56.0,0.19,18.0,94.0,173.0,,0.98,0.63,1.957,0.15,0.17,0.0,0.22,0.09,0.007
Pecans,61.0,1.07,130.0,310.0,520.0,0.012,2.2,5.3,2.95,0.15,0.71,0.0,0.19,4.3,0.001
"Peppercorn (black, green and white) and similar-",437.0,1.13,190.0,173.0,1259.0,0.003,21.6,1.4,3.117,0.24,0.11,0.0,0.34,0.875,0.0
"Peppers, dried",148.0,0.8,152.0,293.0,2014.0,,7.8,2.48,11.167,0.92,0.33,0.0,0.0,0.0,0.0
